country_name,country_code,year,pcnt_women
Ethiopia,ETH,1970,0
France,FRA,1970,1.8
Haiti,HTI,1970,0
India,IND,1970,5.8
Ireland,IRL,1970,8.3
Italy,ITA,1970,3.4
Jamaica,JAM,1970,9.5
Japan,JPN,1970,5.2
Jordan,JOR,1970,0
Lesotho,LSO,1970,9.1
Madagascar,MDG,1970,7.8
Malaysia,MYS,1970,3.4
Mexico,MEX,1970,3.3
Nepal,NPL,1970,2.8
Netherlands,NLD,1970,5.3
Paraguay,PRY,1970,3.3
Philippines,PHL,1970,0
South Africa,ZAF,1970,1.8
Trinidad and Tobago,TTO,1970,16.7
United States of America,USA,1970,1
Uruguay,URY,1970,0
Afghanistan,AFG,1975,0
Argentina,ARG,1975,4.3
Australia,AUS,1975,9.4
Austria,AUT,1975,20
Bahamas,BHS,1975,0
Barbados,BRB,1975,14.3
Belgium,BEL,1975,6.6
Bolivia (Plurinational State of),BOL,1975,0
Brazil,BRA,1975,0
Burundi,BDI,1975,0
Cambodia,KHM,1975,0
Canada,CAN,1975,6.6
Chile,CHL,1975,4
Colombia,COL,1975,0.9
Democratic Republic of the Congo,COD,1975,0
Dominican Republic,DOM,1975,11.1
Eswatini,SWZ,1975,5
Ethiopia,ETH,1975,0
France,FRA,1975,2.5
Grenada,GRD,1975,7.7
Haiti,HTI,1975,0
India,IND,1975,7
Ireland,IRL,1975,6.7
Italy,ITA,1975,1.9
Jamaica,JAM,1975,14.3
Japan,JPN,1975,7.1
Jordan,JOR,1975,0
Lesotho,LSO,1975,9.1
Madagascar,MDG,1975,7.8
Malaysia,MYS,1975,3.7
Mexico,MEX,1975,3.3
Nepal,NPL,1975,2.8
Netherlands,NLD,1975,4
Pakistan,PAK,1975,2.2
Paraguay,PRY,1975,3.3
Philippines,PHL,1975,12.5
South Africa,ZAF,1975,3.6
Switzerland,CHE,1975,0
Trinidad and Tobago,TTO,1975,12.5
United States of America,USA,1975,0
Uruguay,URY,1975,0
Afghanistan,AFG,1980,0
Argentina,ARG,1980,4.3
Australia,AUS,1980,14.1
Austria,AUT,1980,16.4
Bahamas,BHS,1980,18.8
Barbados,BRB,1980,14.3
Belgium,BEL,1980,10.5
Bolivia (Plurinational State of),BOL,1980,7.4
Brazil,BRA,1980,1.5
Burundi,BDI,1980,0
Cambodia,KHM,1980,0
Canada,CAN,1980,10.3
Chile,CHL,1980,4
Colombia,COL,1980,0.9
Democratic Republic of the Congo,COD,1980,0
Dominican Republic,DOM,1980,7.4
Eswatini,SWZ,1980,5
Ethiopia,ETH,1980,0
France,FRA,1980,2.3
Grenada,GRD,1980,7.7
Haiti,HTI,1980,0
India,IND,1980,11.9
Ireland,IRL,1980,10
Italy,ITA,1980,3.1
Jamaica,JAM,1980,19
Japan,JPN,1980,6.8
Jordan,JOR,1980,0
Lesotho,LSO,1980,9.1
Madagascar,MDG,1980,7.8
Malaysia,MYS,1980,10.4
Mexico,MEX,1980,6.3
Nepal,NPL,1980,2.8
Netherlands,NLD,1980,16
Pakistan,PAK,1980,4.8
Paraguay,PRY,1980,3.3
Philippines,PHL,1980,12.5
Saint Lucia,LCA,1980,18.2
South Africa,ZAF,1980,3.6
Spain,ESP,1980,2
Switzerland,CHE,1980,6.5
Trinidad and Tobago,TTO,1980,16.1
United States of America,USA,1980,2
Uruguay,URY,1980,0
Zimbabwe,ZWE,1980,7.5
Afghanistan,AFG,1985,0
Antigua and Barbuda,ATG,1985,11.8
Argentina,ARG,1985,6.5
Australia,AUS,1985,18.4
Austria,AUT,1985,16.4
Bahamas,BHS,1985,25
Barbados,BRB,1985,19
Belgium,BEL,1985,12
Belize,BLZ,1985,30
Bolivia (Plurinational State of),BOL,1985,7.4
Brazil,BRA,1985,0
Burundi,BDI,1985,0
Cambodia,KHM,1985,0
Canada,CAN,1985,11.8
Chile,CHL,1985,4
Colombia,COL,1985,2.6
Democratic Republic of the Congo,COD,1985,0
Dominican Republic,DOM,1985,3.7
Eswatini,SWZ,1985,15
Ethiopia,ETH,1985,0
France,FRA,1985,2.8
Grenada,GRD,1985,7.7
Haiti,HTI,1985,0
India,IND,1985,11.5
Ireland,IRL,1985,10
Italy,ITA,1985,5.2
Jamaica,JAM,1985,14.3
Japan,JPN,1985,7.2
Jordan,JOR,1985,0
Lesotho,LSO,1985,9.1
Madagascar,MDG,1985,7.8
Malaysia,MYS,1985,13.2
Mexico,MEX,1985,15.6
Nepal,NPL,1985,2.8
Netherlands,NLD,1985,21.3
Pakistan,PAK,1985,0
Paraguay,PRY,1985,3.3
Philippines,PHL,1985,12.5
Saint Lucia,LCA,1985,27.3
South Africa,ZAF,1985,3.6
Spain,ESP,1985,4.3
Switzerland,CHE,1985,6.5
Trinidad and Tobago,TTO,1985,12.9
United States of America,USA,1985,2
Uruguay,URY,1985,0
Zimbabwe,ZWE,1985,10
Afghanistan,AFG,1990,0
Antigua and Barbuda,ATG,1990,5.9
Argentina,ARG,1990,8.7
Australia,AUS,1990,23.7
Austria,AUT,1990,21.7
Bahamas,BHS,1990,18.8
Barbados,BRB,1990,19
Belgium,BEL,1990,8.2
Belize,BLZ,1990,30
Bolivia (Plurinational State of),BOL,1990,3.7
Brazil,BRA,1990,2.5
Burundi,BDI,1990,0
Cambodia,KHM,1990,0
Canada,CAN,1990,15.3
Chile,CHL,1990,6.4
Colombia,COL,1990,0.9
Democratic Republic of the Congo,COD,1990,0
Dominican Republic,DOM,1990,0
Eswatini,SWZ,1990,15
Ethiopia,ETH,1990,0
France,FRA,1990,3.1
Germany,DEU,1990,14.7
Grenada,GRD,1990,15.4
Haiti,HTI,1990,0
India,IND,1990,9.8
Ireland,IRL,1990,10
Italy,ITA,1990,6.8
Jamaica,JAM,1990,19
Japan,JPN,1990,8.8
Jordan,JOR,1990,2.5
Lesotho,LSO,1990,9.1
Madagascar,MDG,1990,7.8
Malaysia,MYS,1990,18
Mexico,MEX,1990,15.6
Nepal,NPL,1990,2.8
Netherlands,NLD,1990,21.3
Pakistan,PAK,1990,0
Paraguay,PRY,1990,5.6
Philippines,PHL,1990,8.3
Poland,POL,1990,7
Romania,ROU,1990,0.8
Russian Federation,RUS,1990,8.7
Saint Lucia,LCA,1990,18.2
South Africa,ZAF,1990,3.6
Spain,ESP,1990,10.6
Switzerland,CHE,1990,10.9
Trinidad and Tobago,TTO,1990,12.9
United States of America,USA,1990,2
Uruguay,URY,1990,0
Zimbabwe,ZWE,1990,10
Afghanistan,AFG,1995,0
Antigua and Barbuda,ATG,1995,17.6
Argentina,ARG,1995,2.8
Australia,AUS,1995,21.1
Austria,AUT,1995,22.2
Bahamas,BHS,1995,18.8
Barbados,BRB,1995,28.6
Belgium,BEL,1995,22.5
Belize,BLZ,1995,30
Bolivia (Plurinational State of),BOL,1995,3.7
Brazil,BRA,1995,7.4
Burundi,BDI,1995,0
Cambodia,KHM,1995,0
Canada,CAN,1995,18.3
Chile,CHL,1995,6.5
Colombia,COL,1995,6.9
Congo,COG,1995,1.7
Democratic Republic of the Congo,COD,1995,0
Dominican Republic,DOM,1995,3.3
Eswatini,SWZ,1995,20
Ethiopia,ETH,1995,6.5
France,FRA,1995,5.6
Germany,DEU,1995,19.1
Grenada,GRD,1995,15.4
Haiti,HTI,1995,0
India,IND,1995,8.2
Ireland,IRL,1995,13.3
Italy,ITA,1995,8.9
Jamaica,JAM,1995,14.3
Japan,JPN,1995,13.9
Jordan,JOR,1995,5
Kazakhstan,KAZ,1995,10
Lesotho,LSO,1995,24.2
Madagascar,MDG,1995,7.8
Malaysia,MYS,1995,23.1
Mexico,MEX,1995,12.5
Nepal,NPL,1995,5
Netherlands,NLD,1995,22.7
Nigeria,NGA,1995,1.1
Pakistan,PAK,1995,1.1
Palau,PLW,1995,0
Paraguay,PRY,1995,11.1
Philippines,PHL,1995,16.7
Poland,POL,1995,13
Romania,ROU,1995,2.1
Russian Federation,RUS,1995,5.1
Saint Lucia,LCA,1995,36.4
South Africa,ZAF,1995,17.8
Spain,ESP,1995,12.6
Switzerland,CHE,1995,17.4
Trinidad and Tobago,TTO,1995,29
United Kingdom,GBR,1995,6.8
United States of America,USA,1995,8
Uruguay,URY,1995,6.7
Zimbabwe,ZWE,1995,10
Afghanistan,AFG,2000,0
Algeria,DZA,2000,5.6
Antigua and Barbuda,ATG,2000,11.8
Argentina,ARG,2000,2.8
Australia,AUS,2000,28.9
Austria,AUT,2000,14.3
Bahamas,BHS,2000,43.8
Barbados,BRB,2000,33.3
Belarus,BLR,2000,30.6
Belgium,BEL,2000,28.2
Belize,BLZ,2000,37.5
Bolivia (Plurinational State of),BOL,2000,3.7
Bosnia and Herzegovina,BIH,2000,0
Brazil,BRA,2000,7.4
Burundi,BDI,2000,0
Cambodia,KHM,2000,13.1
Canada,CAN,2000,32.4
Chile,CHL,2000,4.1
Colombia,COL,2000,12.7
Congo,COG,2000,1.7
Czechia,CZE,2000,12.3
Democratic Republic of the Congo,COD,2000,3.3
Dominican Republic,DOM,2000,6.7
Eswatini,SWZ,2000,13.3
Ethiopia,ETH,2000,7.1
France,FRA,2000,5.9
Gabon,GAB,2000,13.2
Germany,DEU,2000,18.8
Grenada,GRD,2000,7.7
Haiti,HTI,2000,25.9
India,IND,2000,9
Ireland,IRL,2000,18.3
Italy,ITA,2000,8
Jamaica,JAM,2000,14.3
Japan,JPN,2000,17.1
Jordan,JOR,2000,7.5
Kazakhstan,KAZ,2000,12.8
Lesotho,LSO,2000,27.3
Liberia,LBR,2000,19.2
Madagascar,MDG,2000,7.8
Malaysia,MYS,2000,17.4
Mexico,MEX,2000,15.6
Morocco,MAR,2000,0.4
Namibia,NA,2000,7.7
Nepal,NPL,2000,15
Netherlands,NLD,2000,28
Nigeria,NGA,2000,2.8
Pakistan,PAK,2000,1.1
Palau,PLW,2000,0
Paraguay,PRY,2000,12.2
Philippines,PHL,2000,17.4
Poland,POL,2000,11
Romania,ROU,2000,7.9
Russian Federation,RUS,2000,5.1
Saint Lucia,LCA,2000,18.2
South Africa,ZAF,2000,31.5
Spain,ESP,2000,22.8
Switzerland,CHE,2000,19.6
Tajikistan,TJK,2000,11.8
Trinidad and Tobago,TTO,2000,29
United Kingdom,GBR,2000,15.6
United States of America,USA,2000,13
Uruguay,URY,2000,9.7
Zimbabwe,ZWE,2000,10
Afghanistan,AFG,2005,22.5
Algeria,DZA,2005,19.4
Antigua and Barbuda,ATG,2005,17.6
Argentina,ARG,2005,41.7
Australia,AUS,2005,35.5
Austria,AUT,2005,25.8
Bahamas,BHS,2005,43.8
Bahrain,BHR,2005,15
Barbados,BRB,2005,23.8
Belarus,BLR,2005,31
Belgium,BEL,2005,31
Belize,BLZ,2005,23.1
Bolivia (Plurinational State of),BOL,2005,3.7
Bosnia and Herzegovina,BIH,2005,0
Brazil,BRA,2005,12.3
Burundi,BDI,2005,34.7
Cambodia,KHM,2005,13.1
Canada,CAN,2005,35.5
Chile,CHL,2005,4.2
Colombia,COL,2005,8.8
Congo,COG,2005,13.3
Czechia,CZE,2005,12.3
Democratic Republic of the Congo,COD,2005,2.5
Dominican Republic,DOM,2005,3.1
Eswatini,SWZ,2005,30
Ethiopia,ETH,2005,18.8
France,FRA,2005,16.9
Gabon,GAB,2005,13.2
Germany,DEU,2005,18.8
Grenada,GRD,2005,30.8
Haiti,HTI,2005,25.9
India,IND,2005,11.4
Ireland,IRL,2005,16.7
Italy,ITA,2005,7.7
Jamaica,JAM,2005,19
Japan,JPN,2005,14
Jordan,JOR,2005,10.9
Kazakhstan,KAZ,2005,5.1
Lesotho,LSO,2005,36.4
Liberia,LBR,2005,16.7
Madagascar,MDG,2005,11.1
Malaysia,MYS,2005,25.7
Mexico,MEX,2005,21.9
Morocco,MAR,2005,1.1
Namibia,NA,2005,26.9
Nepal,NPL,2005,8.3
Netherlands,NLD,2005,32
Nigeria,NGA,2005,3.7
Oman,OMN,2005,15.5
Pakistan,PAK,2005,18
Palau,PLW,2005,0
Paraguay,PRY,2005,9.8
Philippines,PHL,2005,17.4
Poland,POL,2005,13
Romania,ROU,2005,9.5
Russian Federation,RUS,2005,5.6
Rwanda,RWA,2005,23.1
Saint Lucia,LCA,2005,36.4
Slovenia,SVN,2005,7.5
South Africa,ZAF,2005,20
Spain,ESP,2005,25.5
Sudan,SDN,2005,4
Switzerland,CHE,2005,23.9
Tajikistan,TJK,2005,23.5
Trinidad and Tobago,TTO,2005,32.3
United Kingdom,GBR,2005,17.5
United States of America,USA,2005,14
Uruguay,URY,2005,9.7
Uzbekistan,UZB,2005,15
Yemen,YEM,2005,1.8
Zimbabwe,ZWE,2005,31.8
Afghanistan,AFG,2010,27.5
Algeria,DZA,2010,5.1
Antigua and Barbuda,ATG,2010,29.4
Argentina,ARG,2010,35.2
Australia,AUS,2010,38.2
Austria,AUT,2010,29
Bahamas,BHS,2010,60
Bahrain,BHR,2010,27.5
Barbados,BRB,2010,19
Belarus,BLR,2010,33.9
Belgium,BEL,2010,38
Belize,BLZ,2010,38.5
Bhutan,BTN,2010,24
Bolivia (Plurinational State of),BOL,2010,47.2
Bosnia and Herzegovina,BIH,2010,13.3
Brazil,BRA,2010,16
Burundi,BDI,2010,46.3
Cambodia,KHM,2010,14.8
Canada,CAN,2010,35
Chile,CHL,2010,13.2
Colombia,COL,2010,15.7
Congo,COG,2010,12.9
Czechia,CZE,2010,18.5
Democratic Republic of the Congo,COD,2010,4.6
Dominican Republic,DOM,2010,9.4
Eswatini,SWZ,2010,40
Ethiopia,ETH,2010,16.3
France,FRA,2010,21.9
Gabon,GAB,2010,17.6
Germany,DEU,2010,27.5
Grenada,GRD,2010,30.8
Haiti,HTI,2010,3.3
India,IND,2010,10.3
Ireland,IRL,2010,20
Italy,ITA,2010,18
Jamaica,JAM,2010,9.5
Japan,JPN,2010,18.2
Jordan,JOR,2010,15
Kazakhstan,KAZ,2010,6.5
Lesotho,LSO,2010,30.3
Liberia,LBR,2010,16.7
Madagascar,MDG,2010,11.1
Malaysia,MYS,2010,24.3
Mexico,MEX,2010,17.2
Morocco,MAR,2010,2.2
Myanmar,MMR,2010,3.6
Namibia,NA,2010,26.9
Nepal,NPL,2010,8.3
Netherlands,NLD,2010,34.7
Nigeria,NGA,2010,8.3
Oman,OMN,2010,20
Pakistan,PAK,2010,18
Palau,PLW,2010,15.4
Paraguay,PRY,2010,15.6
Philippines,PHL,2010,13
Poland,POL,2010,8
Romania,ROU,2010,5.8
Russian Federation,RUS,2010,4.7
Rwanda,RWA,2010,23.1
Saint Lucia,LCA,2010,18.2
Slovenia,SVN,2010,2.5
South Africa,ZAF,2010,18.9
Spain,ESP,2010,30
Sudan,SDN,2010,10.9
Switzerland,CHE,2010,21.7
Tajikistan,TJK,2010,14.7
Trinidad and Tobago,TTO,2010,25.8
United Kingdom,GBR,2010,22.6
United States of America,USA,2010,17
Uruguay,URY,2010,13.3
Uzbekistan,UZB,2010,15
Yemen,YEM,2010,1.8
Zimbabwe,ZWE,2010,24.7
Afghanistan,AFG,2015,26.5
Algeria,DZA,2015,5.8
Antigua and Barbuda,ATG,2015,41.2
Argentina,ARG,2015,41.7
Australia,AUS,2015,38.2
Austria,AUT,2015,29.5
Bahamas,BHS,2015,25
Bahrain,BHR,2015,22.5
Barbados,BRB,2015,23.8
Belarus,BLR,2015,32.8
Belgium,BEL,2015,50.8
Belize,BLZ,2015,38.5
Bhutan,BTN,2015,8
Bolivia (Plurinational State of),BOL,2015,47.2
Bosnia and Herzegovina,BIH,2015,13.3
Brazil,BRA,2015,16
Burundi,BDI,2015,41.9
Cambodia,KHM,2015,16.4
Cameroon,CMR,2015,20
Canada,CAN,2015,37.3
Chile,CHL,2015,15.8
Colombia,COL,2015,22.5
Congo,COG,2015,19.4
Czechia,CZE,2015,18.5
Democratic Republic of the Congo,COD,2015,4.6
Dominican Republic,DOM,2015,9.4
Equatorial Guinea,GNQ,2015,13.7
Eswatini,SWZ,2015,33.3
Ethiopia,ETH,2015,32
France,FRA,2015,25
Gabon,GAB,2015,18.2
Germany,DEU,2015,40.6
Grenada,GRD,2015,15.4
Haiti,HTI,2015,0
India,IND,2015,12.8
Ireland,IRL,2015,30
Italy,ITA,2015,28.3
Jamaica,JAM,2015,28.6
Japan,JPN,2015,15.7
Jordan,JOR,2015,10.7
Kazakhstan,KAZ,2015,6.4
Kenya,KEN,2015,26.5
Lesotho,LSO,2015,24.2
Liberia,LBR,2015,10
Madagascar,MDG,2015,12.2
Malaysia,MYS,2015,23.1
Mauritania,MRT,2015,14.3
Mexico,MEX,2015,33.6
Morocco,MAR,2015,11.7
Myanmar,MMR,2015,10.3
Namibia,NA,2015,23.8
Nepal,NPL,2015,8.3
Netherlands,NLD,2015,34.7
Nigeria,NGA,2015,6.5
Oman,OMN,2015,15.3
Pakistan,PAK,2015,18.3
Palau,PLW,2015,23.1
Paraguay,PRY,2015,20
Philippines,PHL,2015,25
Poland,POL,2015,13
Romania,ROU,2015,7.7
Russian Federation,RUS,2015,17.1
Rwanda,RWA,2015,38.5
Saint Lucia,LCA,2015,27.3
Slovenia,SVN,2015,7.5
South Africa,ZAF,2015,35.2
South Sudan,SSD,2015,10
Spain,ESP,2015,39.2
Sudan,SDN,2015,35.2
Switzerland,CHE,2015,15.2
Tajikistan,TJK,2015,6.3
Trinidad and Tobago,TTO,2015,32.3
United Kingdom,GBR,2015,24.6
United States of America,USA,2015,20
Uruguay,URY,2015,29
Uzbekistan,UZB,2015,17
Yemen,YEM,2015,1.8
Zimbabwe,ZWE,2015,47.5
Afghanistan,AFG,2020,27.9
Algeria,DZA,2020,5.7
Antigua and Barbuda,ATG,2020,52.9
Argentina,ARG,2020,40.3
Australia,AUS,2020,51.3
Austria,AUT,2020,42.6
Bahamas,BHS,2020,43.8
Bahrain,BHR,2020,22.5
Barbados,BRB,2020,42.9
Belarus,BLR,2020,25
Belgium,BEL,2020,45.8
Belize,BLZ,2020,35.7
Bhutan,BTN,2020,16
Bolivia (Plurinational State of),BOL,2020,55.6
Bosnia and Herzegovina,BIH,2020,20
Brazil,BRA,2020,12.3
Burundi,BDI,2020,41
Cambodia,KHM,2020,16.1
Cameroon,CMR,2020,26
Canada,CAN,2020,49.5
Chile,CHL,2020,25.6
Colombia,COL,2020,21
Congo,COG,2020,18.8
Côte d'Ivoire,CIV,2020,19.2
Czechia,CZE,2020,14.8
Democratic Republic of the Congo,COD,2020,21.1
Dominican Republic,DOM,2020,12.5
Egypt,EGY,2020,13.3
Equatorial Guinea,GNQ,2020,16.7
Eswatini,SWZ,2020,40
Ethiopia,ETH,2020,32
France,FRA,2020,34.8
Gabon,GAB,2020,17.3
Germany,DEU,2020,36.2
Grenada,GRD,2020,15.4
Haiti,HTI,2020,0
India,IND,2020,11.2
Ireland,IRL,2020,40
Italy,ITA,2020,34.4
Jamaica,JAM,2020,38.1
Japan,JPN,2020,23
Jordan,JOR,2020,12.3
Kazakhstan,KAZ,2020,18.8
Kenya,KEN,2020,31.8
Lesotho,LSO,2020,21.2
Liberia,LBR,2020,3.3
Madagascar,MDG,2020,11.1
Malaysia,MYS,2020,13.6
Mauritania,MRT,2020,14.3
Mexico,MEX,2020,49.2
Morocco,MAR,2020,11.7
Myanmar,MMR,2020,14.4
Namibia,NA,2020,14.3
Nepal,NPL,2020,37.9
Netherlands,NLD,2020,38.7
Nigeria,NGA,2020,7.3
Oman,OMN,2020,17.4
Pakistan,PAK,2020,19.2
Palau,PLW,2020,7.7
Paraguay,PRY,2020,17.8
Philippines,PHL,2020,29.2
Poland,POL,2020,24
Romania,ROU,2020,18.4
Russian Federation,RUS,2020,17.1
Rwanda,RWA,2020,38.5
Saint Lucia,LCA,2020,27.3
Slovenia,SVN,2020,10
Somalia,SOM,2020,24.1
South Africa,ZAF,2020,41.5
South Sudan,SSD,2020,12
Spain,ESP,2020,40.8
Switzerland,CHE,2020,26.1
Tajikistan,TJK,2020,22.6
Thailand,THA,2020,10.4
Trinidad and Tobago,TTO,2020,40.6
United Kingdom,GBR,2020,27.9
United States of America,USA,2020,25
Uruguay,URY,2020,32.3
Uzbekistan,UZB,2020,23
Yemen,YEM,2020,2.7
Zimbabwe,ZWE,2020,43.8
Algeria,DZA,2025,2.5
Antigua and Barbuda,ATG,2025,41.2
Argentina,ARG,2025,45.8
Australia,AUS,2025,56.6
Bahamas,BHS,2025,31.3
Bahrain,BHR,2025,25
Barbados,BRB,2025,33.3
Belarus,BLR,2025,30.5
Belgium,BEL,2025,47.5
Belize,BLZ,2025,35.7
Bhutan,BTN,2025,12
Bolivia (Plurinational State of),BOL,2025,55.6
Bosnia and Herzegovina,BIH,2025,6.7
Brazil,BRA,2025,19.8
Burundi,BDI,2025,46.2
Cambodia,KHM,2025,19.4
Cameroon,CMR,2025,33
Canada,CAN,2025,54.8
Chad,TCD,2025,36.2
Chile,CHL,2025,26
Colombia,COL,2025,31.4
Congo,COG,2025,31.9
Côte d'Ivoire,CIV,2025,24.5
Czechia,CZE,2025,21.3
Democratic Republic of the Congo,COD,2025,15.8
Dominican Republic,DOM,2025,12.5
Equatorial Guinea,GNQ,2025,25
Eswatini,SWZ,2025,46.7
Ethiopia,ETH,2025,29.7
France,FRA,2025,37.1
Gabon,GAB,2025,20.3
Germany,DEU,2025,34.8
Grenada,GRD,2025,30.8
India,IND,2025,16.7
Ireland,IRL,2025,45
Italy,ITA,2025,36.3
Jamaica,JAM,2025,40
Japan,JPN,2025,29.4
Jordan,JOR,2025,14.5
Kazakhstan,KAZ,2025,20
Kenya,KEN,2025,31.3
Lesotho,LSO,2025,21.2
Liberia,LBR,2025,10
Madagascar,MDG,2025,11.1
Malaysia,MYS,2025,16.1
Mauritania,MRT,2025,14.3
Mexico,MEX,2025,50
Morocco,MAR,2025,11.7
Namibia,NA,2025,14.3
Nepal,NPL,2025,37.3
Netherlands,NLD,2025,40
Nigeria,NGA,2025,2.8
Oman,OMN,2025,20.9
Pakistan,PAK,2025,18.8
Palau,PLW,2025,13.3
Paraguay,PRY,2025,22.2
Philippines,PHL,2025,20.8
Poland,POL,2025,19
Romania,ROU,2025,20.9
Russian Federation,RUS,2025,18.5
Rwanda,RWA,2025,53.8
Saint Lucia,LCA,2025,54.5
Slovenia,SVN,2025,17.5
Somalia,SOM,2025,25.9
South Africa,ZAF,2025,44.4
South Sudan,SSD,2025,32.1
Spain,ESP,2025,42.5
Switzerland,CHE,2025,33.3
Tajikistan,TJK,2025,30.3
Thailand,THA,2025,22.5
Togo,TGO,2025,24.6
Trinidad and Tobago,TTO,2025,25.8
Tunisia,TUN,2025,13
Turkmenistan,TKM,2025,25.5
United Kingdom,GBR,2025,31
United States of America,USA,2025,26
Uzbekistan,UZB,2025,24.6
Yemen,YEM,2025,1.1
Zimbabwe,ZWE,2025,44.3
