year,iso_code,country,chamber,status,percentage_of_women,date_from,date_to,notes,structure,chamber_type
1945,US,United States of America,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,UY,Uruguay,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,UZ,Uzbekistan,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,YE,Yemen,Shura Council,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,ZW,Zimbabwe,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,AF,Afghanistan,House of Elders,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,DZ,Algeria,Council of the Nation,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,AG,Antigua and Barbuda,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,AR,Argentina,Senate,NA,0,1946-02-01,1951-10-31,NA,Bicameral,Upper chamber
1950,AU,Australia,Senate,NA,6.7,1949-01-01,1954-12-31,NA,Bicameral,Upper chamber
1950,AT,Austria,Federal Council,NA,2.1,1949-01-01,1952-12-31,NA,Bicameral,Upper chamber
1950,BS,Bahamas,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,BH,Bahrain,Shura Council,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,BB,Barbados,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,BY,Belarus,Council of the Republic,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,BE,Belgium,Senate,NA,4,1949-01-01,1953-12-31,NA,Bicameral,Upper chamber
1950,BZ,Belize,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,BT,Bhutan,National Council,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,BO,Bolivia (Plurinational State of),Chamber of Senators,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,BA,Bosnia and Herzegovina,House of Peoples,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,BR,Brazil,Federal Senate,NA,0,1945-01-01,1961-12-31,NA,Bicameral,Upper chamber
1950,BI,Burundi,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,KH,Cambodia,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,CM,Cameroon,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,CA,Canada,Senate,NA,2.3,1950-01-01,1950-12-31,NA,Bicameral,Upper chamber
1950,TD,Chad,Senate,NA,NA,NA,NA,NA,NA,Upper chamber
1950,CL,Chile,Senate,NA,0,1945-01-01,1952-12-31,NA,Bicameral,Upper chamber
1950,CO,Colombia,Senate,NA,0,1947-01-01,1950-12-31,NA,Bicameral,Upper chamber
1950,CG,Congo,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,CI,Côte d'Ivoire,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,CZ,Czechia,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,CD,Democratic Republic of the Congo,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,DO,Dominican Republic,Senate,NA,0,1950-01-01,1953-12-31,NA,Bicameral,Upper chamber
1950,EG,Egypt,Senate,NA,NA,NA,NA,NA,Unicameral,NA
1950,GQ,Equatorial Guinea,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,SZ,Eswatini,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,ET,Ethiopia,House of the Federation,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,FR,France,Senate,NA,3.8,1948-01-01,1950-12-31,NA,Bicameral,Upper chamber
1950,GA,Gabon,Transitional Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,DE,Germany,Federal Council,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,GD,Grenada,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,HT,Haiti,Senate,NA,0,1946-01-01,1987-12-31,NA,Bicameral,Upper chamber
1950,IN,India,Council of States,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,IE,Ireland,Senate,NA,5,1948-04-01,1957-04-30,NA,Bicameral,Upper chamber
1950,IT,Italy,Senate,NA,1.2,1948-01-01,1952-12-31,NA,Bicameral,Upper chamber
1950,JM,Jamaica,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,JP,Japan,House of Councillors,NA,4.8,1950-01-01,1952-12-31,NA,Bicameral,Upper chamber
1950,JO,Jordan,Senate,NA,0,1950-01-01,1966-12-31,NA,Bicameral,Upper chamber
1950,KZ,Kazakhstan,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,KE,Kenya,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,LS,Lesotho,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,LR,Liberia,The Liberian Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,MG,Madagascar,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,MY,Malaysia,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,MR,Mauritania,Senate,NA,NA,NA,NA,NA,Unicameral,NA
1950,MX,Mexico,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,MA,Morocco,House of Councillors,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,MM,Myanmar,House of Nationalities,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,NA,Namibia,National Council,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,NP,Nepal,National Assembly,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,NL,Netherlands,Senate,NA,2,1948-01-01,1954-12-31,NA,Bicameral,Upper chamber
1950,NG,Nigeria,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,OM,Oman,State Council,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,PK,Pakistan,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,PW,Palau,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,PY,Paraguay,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,PH,Philippines,Senate,NA,0,1949-01-01,1954-12-31,NA,Bicameral,Upper chamber
1950,PL,Poland,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,RO,Romania,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,RU,Russian Federation,Council of the Federation,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,RW,Rwanda,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,LC,Saint Lucia,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,SI,Slovenia,National Council,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,SO,Somalia,Upper House,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,ZA,South Africa,National Council of Provinces,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,SS,South Sudan,Council of States,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,ES,Spain,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,SD,Sudan,Council of States,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,CH,Switzerland,Council of States,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,TJ,Tajikistan,National Assembly,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,TH,Thailand,Senate,NA,NA,NA,NA,NA,Unicameral,NA
1950,TG,Togo,Senate,NA,NA,NA,NA,NA,NA,Upper chamber
1950,TT,Trinidad and Tobago,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,TN,Tunisia,National Council of Regions and Districts,NA,NA,NA,NA,NA,Unicameral,NA
1950,TM,Turkmenistan,People’s Council,NA,NA,NA,NA,NA,Unicameral,NA
1950,GB,United Kingdom,House of Lords,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,US,United States of America,Senate,NA,1,1948-11-01,1954-10-31,NA,Bicameral,Upper chamber
1950,UY,Uruguay,Senate,NA,0,1946-11-01,1989-10-31,NA,Bicameral,Upper chamber
1950,UZ,Uzbekistan,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,YE,Yemen,Shura Council,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1950,ZW,Zimbabwe,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,AF,Afghanistan,House of Elders,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,DZ,Algeria,Council of the Nation,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,AG,Antigua and Barbuda,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,AR,Argentina,Senate,NA,20,1951-11-01,1958-01-31,NA,Bicameral,Upper chamber
1955,AU,Australia,Senate,NA,8.3,1955-01-01,1963-12-31,NA,Bicameral,Upper chamber
1955,AT,Austria,Federal Council,NA,2.2,1953-01-01,1955-12-31,NA,Bicameral,Upper chamber
1955,BS,Bahamas,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,BH,Bahrain,Shura Council,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,BB,Barbados,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,BY,Belarus,Council of the Republic,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,BE,Belgium,Senate,NA,3.4,1954-01-01,1960-12-31,NA,Bicameral,Upper chamber
1955,BZ,Belize,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,BT,Bhutan,National Council,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,BO,Bolivia (Plurinational State of),Chamber of Senators,NA,0,1951-01-01,1959-12-31,NA,Bicameral,Upper chamber
1955,BA,Bosnia and Herzegovina,House of Peoples,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,BR,Brazil,Federal Senate,NA,0,1945-01-01,1961-12-31,NA,Bicameral,Upper chamber
1955,BI,Burundi,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,KH,Cambodia,Senate,NA,0,1955-01-01,1971-12-31,NA,Bicameral,Upper chamber
1955,CM,Cameroon,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,CA,Canada,Senate,NA,6.6,1955-01-01,1955-12-31,NA,Bicameral,Upper chamber
1955,TD,Chad,Senate,NA,NA,NA,NA,NA,NA,Upper chamber
1955,CL,Chile,Senate,NA,2.2,1953-01-01,1956-12-31,NA,Bicameral,Upper chamber
1955,CO,Colombia,Senate,NA,0,1951-01-01,1957-12-31,NA,Bicameral,Upper chamber
1955,CG,Congo,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,CI,Côte d'Ivoire,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,CZ,Czechia,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,CD,Democratic Republic of the Congo,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,DO,Dominican Republic,Senate,NA,13,1954-01-01,1957-12-31,NA,Bicameral,Upper chamber
1955,EG,Egypt,Senate,NA,NA,NA,NA,NA,Unicameral,NA
1955,GQ,Equatorial Guinea,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,SZ,Eswatini,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,ET,Ethiopia,House of the Federation,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,FR,France,Senate,NA,2.8,1951-01-01,1957-12-31,NA,Bicameral,Upper chamber
1955,GA,Gabon,Transitional Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,DE,Germany,Federal Council,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,GD,Grenada,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,HT,Haiti,Senate,NA,0,1946-01-01,1987-12-31,NA,Bicameral,Upper chamber
1955,IN,India,Council of States,NA,7.8,1954-01-01,1955-12-31,NA,Bicameral,Upper chamber
1955,IE,Ireland,Senate,NA,5,1948-04-01,1957-04-30,NA,Bicameral,Upper chamber
1955,IT,Italy,Senate,NA,0.4,1953-01-01,1957-12-31,NA,Bicameral,Upper chamber
1955,JM,Jamaica,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,JP,Japan,House of Councillors,NA,6,1953-01-01,1958-12-31,NA,Bicameral,Upper chamber
1955,JO,Jordan,Senate,NA,0,1950-01-01,1966-12-31,NA,Bicameral,Upper chamber
1955,KZ,Kazakhstan,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,KE,Kenya,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,LS,Lesotho,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,LR,Liberia,The Liberian Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,MG,Madagascar,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,MY,Malaysia,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,MR,Mauritania,Senate,NA,NA,NA,NA,NA,Unicameral,NA
1955,MX,Mexico,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,MA,Morocco,House of Councillors,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,MM,Myanmar,House of Nationalities,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,NA,Namibia,National Council,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,NP,Nepal,National Assembly,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,NL,Netherlands,Senate,NA,4,1955-01-01,1956-05-31,NA,Bicameral,Upper chamber
1955,NG,Nigeria,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,OM,Oman,State Council,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,PK,Pakistan,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,PW,Palau,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,PY,Paraguay,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,PH,Philippines,Senate,NA,12.5,1955-01-01,1956-12-31,NA,Bicameral,Upper chamber
1955,PL,Poland,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,RO,Romania,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,RU,Russian Federation,Council of the Federation,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,RW,Rwanda,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,LC,Saint Lucia,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,SI,Slovenia,National Council,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,SO,Somalia,Upper House,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,ZA,South Africa,National Council of Provinces,NA,1.1,1955-11-01,1960-10-31,NA,Bicameral,Upper chamber
1955,SS,South Sudan,Council of States,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,ES,Spain,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,SD,Sudan,Council of States,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,CH,Switzerland,Council of States,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,TJ,Tajikistan,National Assembly,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,TH,Thailand,Senate,NA,NA,NA,NA,NA,Unicameral,NA
1955,TG,Togo,Senate,NA,NA,NA,NA,NA,NA,Upper chamber
1955,TT,Trinidad and Tobago,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,TN,Tunisia,National Council of Regions and Districts,NA,NA,NA,NA,NA,Unicameral,NA
1955,TM,Turkmenistan,People’s Council,NA,NA,NA,NA,NA,Unicameral,NA
1955,GB,United Kingdom,House of Lords,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,US,United States of America,Senate,NA,3,1954-11-01,1956-10-31,NA,Bicameral,Upper chamber
1955,UY,Uruguay,Senate,NA,0,1946-11-01,1989-10-31,NA,Bicameral,Upper chamber
1955,UZ,Uzbekistan,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,YE,Yemen,Shura Council,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1955,ZW,Zimbabwe,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1960,AF,Afghanistan,House of Elders,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1960,DZ,Algeria,Council of the Nation,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1960,AG,Antigua and Barbuda,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1960,AR,Argentina,Senate,NA,0,1958-02-01,1963-06-30,NA,Bicameral,Upper chamber
1960,AU,Australia,Senate,NA,8.3,1955-01-01,1963-12-31,NA,Bicameral,Upper chamber
1960,AT,Austria,Federal Council,NA,12.5,1956-01-01,1961-12-31,NA,Bicameral,Upper chamber
1960,BS,Bahamas,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1960,BH,Bahrain,Shura Council,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1960,BB,Barbados,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1960,BY,Belarus,Council of the Republic,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1960,BE,Belgium,Senate,NA,3.4,1954-01-01,1960-12-31,NA,Bicameral,Upper chamber
1960,BZ,Belize,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1960,BT,Bhutan,National Council,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1960,BO,Bolivia (Plurinational State of),Chamber of Senators,NA,0,1960-01-01,1978-12-31,NA,Bicameral,Upper chamber
1960,BA,Bosnia and Herzegovina,House of Peoples,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1960,BR,Brazil,Federal Senate,NA,0,1945-01-01,1961-12-31,NA,Bicameral,Upper chamber
1960,BI,Burundi,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1960,KH,Cambodia,Senate,NA,0,1955-01-01,1971-12-31,NA,Bicameral,Upper chamber
1960,CM,Cameroon,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1960,CA,Canada,Senate,NA,6.9,1960-01-01,1960-12-31,NA,Bicameral,Upper chamber
1960,TD,Chad,Senate,NA,NA,NA,NA,NA,NA,Upper chamber
1960,CL,Chile,Senate,NA,0,1957-01-01,1964-12-31,NA,Bicameral,Upper chamber
1960,CO,Colombia,Senate,NA,0,1960-01-01,1961-12-31,NA,Bicameral,Upper chamber
1960,CG,Congo,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1960,CI,Côte d'Ivoire,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1960,CZ,Czechia,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1960,CD,Democratic Republic of the Congo,Senate,NA,0,1960-01-01,1996-12-31,NA,Bicameral,Upper chamber
1960,DO,Dominican Republic,Senate,NA,8.3,1958-01-01,1961-12-31,NA,Bicameral,Upper chamber
1960,EG,Egypt,Senate,NA,NA,NA,NA,NA,Unicameral,NA
1960,GQ,Equatorial Guinea,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1960,SZ,Eswatini,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1960,ET,Ethiopia,House of the Federation,NA,0,1957-10-01,1973-06-30,NA,Bicameral,Upper chamber
1960,FR,France,Senate,NA,1.6,1959-01-01,1961-12-31,NA,Bicameral,Upper chamber
1960,GA,Gabon,Transitional Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1960,DE,Germany,Federal Council,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1960,GD,Grenada,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1960,HT,Haiti,Senate,NA,0,1946-01-01,1987-12-31,NA,Bicameral,Upper chamber
1960,IN,India,Council of States,NA,10.2,1960-01-01,1961-12-31,NA,Bicameral,Upper chamber
1960,IE,Ireland,Senate,NA,6.7,1957-05-01,1961-11-30,NA,Bicameral,Upper chamber
1960,IT,Italy,Senate,NA,1.2,1958-01-01,1962-12-31,NA,Bicameral,Upper chamber
1960,JM,Jamaica,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1960,JP,Japan,House of Councillors,NA,6,1960-01-01,1960-12-31,NA,Bicameral,Upper chamber
